appid,genres
1079310,Casual;Indie
1079340,Action;Adventure;Indie
1079510,Simulation;Strategy
1079620,Action;Indie;Massively Multiplayer;Simulation;Early Access
1079800,Action;Indie;Sports
1079830,Action;Adventure;RPG
1080010,Action;Casual;Indie;Simulation
1080020,Adventure;Casual;Indie;Simulation
1080450,Adventure;Indie;RPG;Simulation
1080750,Adventure;Indie
107900,
1080990,
1081040,
1081090,
108110,
1081450,Action;Adventure;Indie;RPG;Strategy
1081510,Adventure;Indie
1081560,Action;Adventure;Indie;Strategy;Early Access
1081670,Action;Casual;Indie;Sports;Free To Play
1081840,Action;Adventure;Indie;RPG;Simulation
1081880,Adventure;Casual;Indie;RPG;Strategy
1081140,Action;Adventure;Indie
108210,Casual;Simulation;Strategy
1082180,Action;Racing;RPG;Simulation;Sports
1082430,Adventure;Indie
1082450,Indie;Simulation;Early Access
1082680,Action;Adventure;Indie;RPG;Simulation
1082710,Action;Adventure;Indie;RPG
1082930,Adventure;Indie
1083190,Adventure;Indie;RPG
1083210,Adventure;Casual;Indie;RPG
1083310,Action;Adventure;Indie
1083650,Casual;Indie
1083760,Indie;RPG
1083820,Action;Adventure;Indie;RPG
1083870,Strategy
1083880,Action;Adventure;Indie;RPG
1084020,Adventure;Casual;Indie;Simulation;Strategy
1084120,Action;Adventure;Indie;RPG
1084160,Action;Strategy
1084520,Casual;RPG;Strategy;Free To Play;Early Access
1084570,Adventure;Casual;Free To Play;Indie
1084600,Adventure;Casual;Indie;RPG;Simulation
1084640,Adventure;Indie
1084870,Action;Adventure;Indie
1085160,Indie
1085180,Action
1085260,Adventure;Simulation;Strategy
1085510,Racing
1085630,Action;Indie
1085660,Action;Adventure;Free To Play
1085750,Indie;Simulation
108600,Indie;RPG;Simulation;Early Access
1086010,Indie
1086470,Casual;Free To Play;Simulation
1086640,Action;Adventure;Indie;Racing;Simulation
